,census_area,Rebate_dol,Fuel_Esc_Rate,Temp_Projection,NPV_weighted2,CO2_lbs_saved_weighted2,CO2_driving_miles_saved_weighted2,Heating_Days_Above5_weighted2,Heating_Days_Below5_weighted2,Heating_Days_Covered
295,Juneau City and Borough,4000,0.09,1.5,25320.83212287497,5357.396607583489,6006.93219248958,350.7510773130545,0.9716096324461343,0.9972375690607735
296,Juneau City and Borough,4000,0.09,3.0,23395.937049717068,4997.192861725933,5603.057020398661,351.72268694550064,0.0,1.0
297,Kenai Peninsula Borough,0,0.03,0.0,-2749.4291539191704,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
298,Kenai Peninsula Borough,0,0.03,1.5,-2634.4916487888877,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
299,Kenai Peninsula Borough,0,0.03,3.0,-2545.415531249554,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
300,Kenai Peninsula Borough,0,0.06,0.0,-2532.1228757459226,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
301,Kenai Peninsula Borough,0,0.06,1.5,-2393.9188610761357,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
302,Kenai Peninsula Borough,0,0.06,3.0,-2286.8112895207996,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
303,Kenai Peninsula Borough,0,0.09,0.0,-2258.8833565397144,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
304,Kenai Peninsula Borough,0,0.09,1.5,-2091.4241821312285,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
305,Kenai Peninsula Borough,0,0.09,3.0,-1961.6439760466988,1515.254630164437,1698.9654648434212,338.3682726654302,5.269866430180343,0.9846644890929463
306,Kenai Peninsula Borough,2000,0.03,0.0,-854.6798217398169,1529.5307207741112,1714.9724015232182,337.74979643170815,7.6739548382819915,0.9777839398418093
307,Kenai Peninsula Borough,2000,0.03,1.5,-739.7423166095342,1529.5398163170894,1714.9825998180113,338.788656594375,5.877624259877757,0.9829469124588861
