BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
1134,020700001001134,101.0,,,,270.3616349043749,274.3330789215887,267.26906029626207
1093,020700001001093,101.0,,,,270.3078740437826,273.78973999023435,267.0970748901367
1176,020700001001176,101.0,,,,272.34081675211587,276.04417724609374,269.42674713134767
1212,020700001001212,101.0,,,,270.74569142659504,274.70894317626954,267.53688354492186
1252,020700001001252,101.0,,,,270.18184051513674,273.5376739501953,267.0650436401367
1129,020700001001129,101.0,,,,271.9643600463867,276.54370574951173,268.198258972168
1210,020700001001210,101.0,,,,270.74569142659504,274.70894317626954,267.53688354492186
1019,020700002001019,101.0,,,,271.73712209065764,275.99784393310546,268.36463470458983
1169,020700001001169,101.0,,,,272.7955124534781,276.75232368120675,269.6368324740646
1055,020700001001055,101.0,,,,271.6808883666992,275.39449005126954,268.73502960205076
1245,020700001001245,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1001,020700002001001,102.0,,,,270.96975758870445,274.71376037597656,267.8037353515625
1018,020700002001018,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1251,020700001001251,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1015,020700002001015,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1227,020700001001227,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1223,020700001001223,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1022,020700002001022,102.0,,,,271.2536602712619,275.10446953648164,268.02395127999444
1021,020700002001021,102.0,,,,271.25100758870445,275.13036193847654,267.9871765136719
1248,020700001001248,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1079,020700001001079,102.0,,,,269.49007367078616,272.02333092230776,267.0956474589439
1226,020700001001226,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1232,020700001001232,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1240,020700001001240,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1010,020700002001010,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1033,020700002001033,102.0,,,,271.48199980492694,275.25856409858255,268.3865481971292
1178,020700001001178,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1092,020700001001092,102.0,,,,270.4980697631836,273.0934997558594,268.0142654418945
1136,020700001001136,102.0,,,,270.3201563517253,273.6040298461914,267.60034637451173
1211,020700001001211,102.0,,,,270.60976409912104,274.0121078491211,267.6037826538086
1011,020700002001011,102.0,,,,271.19587269845744,275.04852746123925,267.9512262367526
1024,020700002001024,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1131,020700001001131,102.0,,,,270.2760771777867,273.7365389828135,267.47543280678883
1038,020700002001038,102.0,,,,270.96975758870445,274.71376037597656,267.8037353515625
1256,020700001001256,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1026,020700002001026,102.0,,,,271.460854247614,275.26777285312085,268.3279548807347
1175,020700001001175,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1120,020700001001120,102.0,,,,271.7994369854951,275.51370201806645,268.46120088061554
1086,020700001001086,102.0,,,,270.1916141617936,272.60097240215634,267.8379410952558
1141,020700001001141,102.0,,,,270.33058813811846,273.6954923815495,267.57441389819655
1009,020700002001009,102.0,,,,270.97343394204665,274.7187045706169,267.8066930165475
1228,020700001001228,102.0,,,,271.65399831136074,275.3986503601074,268.37803649902344
1238,020700001001238,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1039,020700002001039,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1000,020700002001000,102.0,,,,271.0076558538967,274.7789767214179,267.83734705481515
1236,020700001001236,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1239,020700001001239,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1224,020700001001224,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1231,020700001001231,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1266,020700001001266,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1145,020700001001145,102.0,,,,270.34461326965646,273.81659021550956,267.5393897235473
1272,020700001001272,102.0,,,,270.4980697631836,273.0934997558594,268.0142654418945
1014,020700002001014,102.0,,,,271.349639343804,275.2305112141698,268.0866177831169
1177,020700001001177,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1008,020700002001008,102.0,,,,271.0933839300072,274.8405399919992,267.94727459643264
1135,020700001001135,102.0,,,,270.28137274795927,273.7129985961914,267.5134836237981
1132,020700001001132,102.0,,,,270.28039398193357,273.7157485961914,267.51129150390625
1244,020700001001244,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1007,020700002001007,102.0,,,,270.96975758870445,274.71376037597656,267.8037353515625
1037,020700002001037,102.0,,,,270.96975758870445,274.71376037597656,267.8037353515625
1069,020700001001069,102.0,,,,270.74660726692747,274.2164314431729,267.6903465532786
1006,020700002001006,102.0,,,,271.25252866561215,275.0069239189311,268.1301061229931
1118,020700001001118,102.0,,,,271.3088189552269,274.9379346244874,268.24335647245135
1229,020700001001229,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1247,020700001001247,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1222,020700001001222,102.0,,,,271.65399831136074,275.3986503601074,268.37803649902344
1130,020700001001130,102.0,,,,272.0508448282877,275.8230041503906,268.5929489135742
1009,020700001001009,102.0,,,,270.31183970146685,273.62739680786734,267.58171976305675
1133,020700001001133,102.0,,,,270.28039398193357,273.7157485961914,267.51129150390625
1016,020700002001016,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1025,020700002001025,102.0,,,,271.11935865253423,274.9353569517744,267.90131043779087
1271,020700001001271,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1230,020700001001230,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1174,020700001001174,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1250,020700001001250,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1255,020700001001255,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1179,020700001001179,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1017,020700002001017,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1002,020700002001002,102.0,,,,270.87129710062175,274.49540791974675,267.82691439629536
1243,020700001001243,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
1027,020700002001027,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1122,020700001001122,102.0,,,,271.54223531976885,275.2905134713373,268.3181219523053
1020,020700002001020,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1028,020700002001028,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1197,020700001001197,102.0,,,,270.7410165141812,274.21305336163203,267.6838909890154
1225,020700001001225,102.0,,,,271.50462086995446,275.2441650390625,268.2923919677734
1128,020700001001128,102.0,,,,272.0508448282877,275.8230041503906,268.5929489135742
1034,020700002001034,102.0,,,,271.35320992469786,275.1972856462001,268.1531469672918
1005,020700002001005,102.0,,,,270.96975758870445,274.71376037597656,267.8037353515625
1040,020700002001040,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1003,020700001001003,102.0,,,,269.0186695192978,271.8351230824378,266.7523549971235
1237,020700001001237,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1083,020700001001083,102.0,,,,270.44877121734123,273.0927602150966,267.926970698982
1235,020700001001235,102.0,,,,271.2862614949544,274.8722122192383,268.23728637695314
1023,020700002001023,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1031,020700002001031,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1030,020700002001030,102.0,,,,271.52497406005864,275.30975952148435,268.4320816040039
1164,020700001001164,102.0,,,,272.3587151122228,276.38933904071,268.8502845385838
1134,020700001001134,102.0,,,,270.31149658817884,273.62836083963504,267.5809513000697
1093,020700001001093,102.0,,,,270.4980697631836,273.0934997558594,268.0142654418945
1176,020700001001176,102.0,,,,272.0115381876628,275.43876190185546,269.44977416992185
1212,020700001001212,102.0,,,,270.60976409912104,274.0121078491211,267.6037826538086
1252,020700001001252,102.0,,,,270.35593109130855,272.82854614257815,267.9488494873047
